name;area_name;url;salary_from;salary_to;salary_cur;requirement;responsibility;employer;api
C++ developer (Telecom);Санкт-Петербург;https://hh.ru/vacancy/85423457;0;0;RUR;Знание архитектуры процессора (любого). Знание скриптовых языков (<highlighttext>Python</highlighttext>, Shell, Perl, etc.). Знание цифровой обработки сигналов и опыт работы с Matlab. ;Совместно с командой предстоит разработка решений от этапа исследования и прототипирования до вывода в коммерческое использование. Разработка программного обеспечения для...;YADRO;HH
Backend-разработчик Python;Челябинск;https://hh.ru/vacancy/86559386;0;0;RUR;Опыт разработки web приложений и сервисов на <highlighttext>Python</highlighttext> (Django, FastAPI) и/или желание развиваться в этом направлении. Понимание базовых принципов...;Разработка масштабируемых интеллектуальных сервисов видеоаналитики на основе Nuitrack SDK / Face SDK. Разработка высоконагруженных самообучаемых сервисов обработки данных с использованием проприетарных...;ТРИДИВИ;HH
Junior/Стажер тестировщик (автотестирование);Ижевск;https://hh.ru/vacancy/86386243;0;0;RUR;Понимание основ работы web-приложений. Базовые знания <highlighttext>python</highlighttext> или любого скриптового языка + желание научиться писать на нем лучше. ;Основные рабочие направления и технологический стек: Автоматизация тестирования WEB приложений (PyTest/Selenium). Доработка системы автотестов. Работа с багтрекером, системами хранения...;ГУТАКС;HH
Intern / Junior Python backend developer;Санкт-Петербург;https://hh.ru/vacancy/86147458;60000;;RUR;Опыт в коммерческой разработке не требуется – важнее навык быстро обучаться, не бояться задач, не тупить, быть инициативным и при этом...;Писать фичи. Писать фронт. Писать тесты.;Рекруто;HH
Python разработчик junior;Москва;https://hh.ru/vacancy/86288456;30000;60000;RUR;Знали <highlighttext>Python</highlighttext>. Работали с Django. Работали с Redis. Работали с Celery. Работали с MySQL. Работали с Git. Работали с Linux. ;Создание мониторингов. Исправление критических ошибок, используя автоматизации. Работа с бекапами. Составление схем взаимодействия между сервисами. Написание проектов по автоматизации работы.;amoCRM;HH
Разработчик Python (удалённо);Москва;https://hh.ru/vacancy/86675959;;110000;RUR;Знание языка <highlighttext>Python</highlighttext> 3. Знание и понимание принципов ООП. Умение писать многопоточный и асинхронный код. Опыт работы с SQL-базами...;Разработка приложений и микросервисов на <highlighttext>Python</highlighttext>. Участие в новых проектах. Поддержка и улучшение действующего кода. Работа со стеком: <highlighttext>Python</highlighttext> 3...;Агентство КИТ Консалт;HH
Инженер отдела тестирования QA;Москва;https://hh.ru/vacancy/86711903;120000;200000;RUR;Базовые знания одного или нескольких скриптовых языков программирования, таких как С#, JavaScript или <highlighttext>Python</highlighttext>. - Опыт работы с базами данных. - ;Вам предстоит заниматься тестированием разрабатываемого программного обеспечения и аппаратных средств, а также оказывать поддержку в пуско-наладочных работах на объектах...;КА ТалантиКА;HH
Начинающий Backend/Frontend - разработчик (стажер);Курск;https://hh.ru/vacancy/85891438;0;0;RUR;Всему научим, всё расскажем - главное желание! Вакансий несколько. Требования: Знания <highlighttext>Python</highlighttext>. Знания HTML, CSS, JS. Понимание базовых основ работы веб...;Ubuntu Server.;Автоматика и телекоммуникации;HH
Аналитик;Воронеж;https://hh.ru/vacancy/84156606;58000;73000;RUR;...и понимание принципов работы с хранилищем данных. Желательные навыки: Опыт работы в Tableau и/или знание <highlighttext>Python</highlighttext> будут являться преимуществом.;Разработка регламентной отчётности, исследования, моделирования, планирование. Разработка систем мотивации продавцов и расчёт вознаграждений. Мониторинг различных показателей (операционные, финансовые, HR метрики...;Департамент Ф53;HH
Backend разработчик (Python);Иркутск;https://hh.ru/vacancy/84244315;150000;;RUR;Уверенные знания <highlighttext>python</highlighttext>3.6 (желателен опыт коммерческой разработки от 2 лет). Опыт работы с Flask/Django. Опыт работы с...;Участие в разработке бэкенда облачного сервиса.;ИОТ;HH
Junior Data Scientist;Москва;https://hh.ru/vacancy/86195321;0;0;RUR;Понимание математической статистики и теории вероятностей. Опыт аналитической работы с использованием языка <highlighttext>Python</highlighttext>\SAS. Знание ML. Знание PL/SQL, опыт...;Создание, обработка и распространение кредитных историй и отчетов по заемщикам. Защита конфиденциальной информации. Предоставление аналитических услуг для банков и компаний. ;Бюро кредитных историй Скоринг Бюро;HH
Программист Python/Django;Минск;https://hh.ru/vacancy/86309826;0;0;RUR;Уверенное знание <highlighttext>Python</highlighttext>/Django. Работа с БД PostgreSQL, Git, Rest API. Наличие навыков работы JS, HTML и CSS. ;Разработка и сопровождение прикладных систем и сетевых сервисов.;Граундтек;HH
Программист-стажер;Москва;https://hh.ru/vacancy/86630378;10000;15000;RUR;;Проведение интерактивных перемен с детьми, создание дружеской легкой атмосферы. Подготовка видеороликов и отчетов об уроке. Работа в CRM системе.;KiberOne (ИП Зивтинь Мария Олеговна);HH
Программист Python;Минск;https://hh.ru/vacancy/86712136;0;0;RUR;Текущая версия операционной системы: Debian 4.0.;;Программа развития Организации Объединенных Наций (ПРООН);HH
Junior программист/разработчик Frontend backend/Junior разработчик;Москва;https://hh.ru/vacancy/86519375;75000;90000;RUR;Увлечение микроэлектроникой, мы работаем с ARM, esp32 и т.д. Знание Linux, <highlighttext>Python</highlighttext>, C++. Работа в Git. ;Разрабатываем и дорабатываем несколько приложений на Java/kotlin под android. Пишем плагины, много работаем с opensource (нужно уметь читать чужой...;AVPOWER;HH
QA инженер / Специалист по тестированию / Тестировщик;Ярославль;https://hh.ru/vacancy/86568679;0;0;RUR;Наличие представления о SOAP протоколе. Знание базовых SQL запросов. Базовые знания Java или <highlighttext>Python</highlighttext>. Базовые навыки автоматизации (или понимание, зачем...;Работа в роли Fullstack QA инженера на одном из проектов наших заказчиков. Проведение тестирования всех платформ (Web, IOS, Android, Backend). ;STRONG TEAM;HH
Junior DevOps Engineer;Минск;https://hh.ru/vacancy/86672462;0;0;RUR;Опыт написания скриптов на Bash (плюсом будет опыт работы с Java, Groovy, <highlighttext>Python</highlighttext>). Понимание технологий и опыт работы с ними...;Участие в построении, автоматизации и развитии процессов DevOps. Разработка и внедрение пайплайнов GitLab CI, Atlassian Bamboo. Провиженинг инфраструктуры c использованием...;Qulix Systems;HH
Младший python-разработчик;Санкт-Петербург;https://hh.ru/vacancy/86598530;85000;100000;RUR;Знание <highlighttext>Python</highlighttext>, ООП и базовых паттернов проектирования. Опыт в разработке серверных приложений на <highlighttext>python</highlighttext> - от 6 месяцев. Опыт работы с...;Разработка внутренних серверных приложений на <highlighttext>Python</highlighttext> для автоматизации бизнес-процессов. Организация взаимообмена данными между собственными и сторонними сервисами через API. ;Финансово-правовой альянс;HH
Разработчик Python (Django, DRF);Москва;https://hh.ru/vacancy/86495459;100000;150000;RUR;Опыт разработки сложных проектов. Обязателен опыт работы с Django, <highlighttext>python</highlighttext> 3.9, Django Rest Framework. Знание SQL (в частности, PostgreSQL...;Разрабатывать новую функциональность на <highlighttext>Python</highlighttext>/Django. Работать с легаси кодом. Участвовать в проработке задач. Писать unit-тесты. Принимать участие в...;T-PASS (ООО Тпасс);HH
Big Data аналитик (NLP);Алматы;https://hh.ru/vacancy/86545522;0;0;RUR;Высшее (математика и статистика) образование, Высшее ИТ. Знание : <highlighttext>Python</highlighttext>, Pandas, SQL, GIT, Excel, Power Point, Jira. Более 1 года опыта...;Проведение экспертного анализ предметной области (с, возможным, привлечением ответственных сотрудников со стороны бизнес-заказчика). Поиск, получение доступов к существующим и...;Beeline, ТМ;HH
Data Science Intern (LLM);Москва;https://hh.ru/vacancy/86732153;0;0;RUR;Начальные знания в области NLP (обработки естественного языка). Релевантное образование. Знание английского языка на уровне В1 и выше. ;Анализ и составление датасетов для обучения LLM моделей. Изучение научных работ и open-source решений в сфере разработки LLM и...;AIR;HH
Backend разработчик;Москва;https://hh.ru/vacancy/86669517;140000;180000;RUR;Хотим видеть у тебя: Опыт продуктовой разработки от 2-5 лет. Хорошие знания Django, Django Rest Framework, Celery. ;Анализом функциональных требований. Разработкой новых и развитием существующих модулей в рамках платформы. Интеграцией с API внешних сервисов.;Эдтех Инвест;HH
Junior Python Developer / Data Engineer;Санкт-Петербург;https://hh.ru/vacancy/86440903;0;0;RUR;Опыт работы с ETL-фреймворками. <highlighttext>Python</highlighttext> Web frameworks (FastAPI / aiohttp / Django / Flask и др.). Умение писать асинхронный код: asyncio. ;Принять участие в построении корпоративного Data Warehouse. Сбор, обработка и анализ большого количества данных. Разработка микросервисов / REST API. ;Smart Design;HH
Junior DataScientist;Москва;https://hh.ru/vacancy/86471604;0;0;RUR;Хорошие знания <highlighttext>Python</highlighttext>. Общие понимания в сфере машинного обучения. Опыт построения Бэкенд сервисов на <highlighttext>Python</highlighttext>. Опыт работы с CV2. ;Разработка бэкенд сервисов. Разработка модулей обработки данных. Разработка микросервисов с использованием технологий машинного обучения. Изучение новых ML технологий, внедрение в...;Finch;HH
Junior Analyst;Москва;https://hh.ru/vacancy/86719394;0;0;RUR;Знание SQL и <highlighttext>Python</highlighttext>. - Знание Excel. - Аналитический склад ума. - Высшее образование по технической специализации.;Основная задача - аналитическая поддержка работы коммерческого департамента. Задачи: - разработка моделей тарификации для улучшения финансовых показателей по разным направлениям бизнеса. - ;WILDBERRIES;HH
Тестировщик (Удаленная работа);Москва;https://hh.ru/vacancy/84554749;128250;128250;RUR;...сервисами Телефония, уведомления, Роботы АТС. Опыт написания автотестов на Playwright. Опыт автоматизации тестирования Web и API. Знание JS/TS/<highlighttext>Python</highlighttext>.;Составление плана тестирования версий. Проведение ручного функционального и регрессивного тестирования. Составление тестовых сценариев, поддержание актуальной тестовой модели. Тесное взаимодействие с...;Армтек;HH
Python-разработчик;Москва;https://hh.ru/vacancy/86667156;0;0;RUR;Умение читать и понимать чужой код. Опыт разработки на <highlighttext>Python</highlighttext> (Django, DRF, Aiohttp) от 2-х лет. Знание Postgresql, Redis. ;Разработка новых приложений и сервисов, а также доработка и сопровождение существующих. Взаимодействие с контрагентами при настройке интеграции с внешними системами.;РАСЧЕТНЫЕ РЕШЕНИЯ;HH
Frontend-разработчик;Москва;https://hh.ru/vacancy/85934327;75000;;RUR;Основы программирования по языкам (JavaScript, <highlighttext>Python</highlighttext>).;Веб-разработка при помощи (HTML+CSS, Javascript, JS (GameDev), <highlighttext>Python</highlighttext>). ISmart организует группы и учебный процесс, предоставляет программу обучения и образовательный...;Айсмарт;HH
Стажер Back-end разработчика: php, java, python, c#;Москва;https://hh.ru/vacancy/86499208;15000;30000;RUR;Знание одного из языков: php, <highlighttext>python</highlighttext>, java, c#. Наличие учебного опыта серверной разработки. Желательно профильное высшее образование по разработке (если...;Разработка на bitrix framework. Разработка API для мобильных приложений и веб-интерфейсов. Интеграция по API с внешними сервисами (банки, доставщики...;Nti.team;HH
Junior QA Engineer;Москва;https://hh.ru/vacancy/86439183;25000;;RUR;Опыт (или понимание как работает) с Vue.js, Element и Vuetify для создания пользовательского интерфейса и тестирования фронтенда. Опыт (или понимание...;Работать с разработчиками и QA для создания и поддержки автоматизированных тестов с использованием <highlighttext>Python</highlighttext> и фреймворка Django. Выполнять ручное тестирование...;Вайтлист;HH
Младший аналитик;Москва;https://hh.ru/vacancy/86660289;0;0;RUR;Уверенное владение Excel, Powerpoint (google таблицы и презентации). Владение Tableau, SQL + Hadoop, Jupiterlab + <highlighttext>Python</highlighttext> и других аналитических инструментов...;Непрерывный анализ работы конкурентов и маркетинговых исследований по изменению рынка девелопмента. Проведение анализа продаж (цена-темп-продукт) конкурентов в заданных...;Группа Самолет;HH
Программист Python;Москва;https://hh.ru/vacancy/86499280;30000;50000;RUR;Уверенное владение <highlighttext>Python</highlighttext> (среднее или выше). Опыт работы с async и aiohttp для создания телеграм ботов. Опыт постройки высоконагруженных сервисов. ;Разработка инновационных телеграмм-ботов на <highlighttext>Python</highlighttext> с использованием async, aiohttp. Управление и оптимизация баз данных PostgreSQL. Интеграция и использование передовых...;Мухаметов Роберт;HH
Data Analyst in Upstream / Subsurface / Geology;Астана;https://hh.ru/vacancy/86647146;0;0;RUR;Keen interest in applied mathematics, data science, and engineering in <highlighttext>Python</highlighttext> and/or R is a plus. Experience working with...;Search for, gather, and compile Upstream oil and gas and Energy Transition data from both external and internal Wood Mackenzie...;ФИЛИАЛ WOOD MAСKENZIE LIMITED /ВУД МАККЕНЗИ ЛИМИТЕД;HH
Помощник в отдел автоматизации cо знанием SQL;Казань;https://hh.ru/vacancy/86383803;60000;;RUR;Уверенные знания SQL: join’ы, оконные функции, cte. - Базовые знания <highlighttext>Python</highlighttext> и/или Javascript. - Понимание того, как работают реляционные базы...;Дорабатывать и поддерживать имеющуюся архитектуру хранилища данных, внедрять скрипты автоматизации: рассылки, формализованная отчётность. - Выстраивать витрины данных под различные задачи. - ;YLAB Development;HH
