name;area_name;url;salary_from;salary_to;salary_cur;requirement;responsibility;employer;api
Junior программист/разработчик Frontend backend/Junior разработчик;Москва;https://hh.ru/vacancy/86519375;75000;90000;RUR;Начальный уровень <highlighttext>Java</highlighttext>, знание или желание разобраться в архитектуре Android начиная с версии 8 и заканчивая последней. Огромное желание учиться...;Разрабатываем и дорабатываем несколько приложений на <highlighttext>Java</highlighttext>/kotlin под android. Пишем плагины, много работаем с opensource (нужно уметь читать чужой...;AVPOWER;HH
QA инженер / Специалист по тестированию / Тестировщик;Ярославль;https://hh.ru/vacancy/86568679;0;0;RUR;Наличие представления о SOAP протоколе. Знание базовых SQL запросов. Базовые знания <highlighttext>Java</highlighttext> или Python. Базовые навыки автоматизации (или понимание, зачем...;Работа в роли Fullstack QA инженера на одном из проектов наших заказчиков. Проведение тестирования всех платформ (Web, IOS, Android, Backend). ;STRONG TEAM;HH
Junior DevOps Engineer;Минск;https://hh.ru/vacancy/86672462;0;0;RUR;Опыт написания скриптов на Bash (плюсом будет опыт работы с <highlighttext>Java</highlighttext>, Groovy, Python). Понимание технологий и опыт работы с ними...;Участие в построении, автоматизации и развитии процессов DevOps. Разработка и внедрение пайплайнов GitLab CI, Atlassian Bamboo. Провиженинг инфраструктуры c использованием...;Qulix Systems;HH
Backend - разработчик (golang, java);Екатеринбург;https://hh.ru/vacancy/86412119;60000;150000;RUR;Умение разобраться в чужом коде. Опыт коммерческой разработки от 1 года (ВАЖНО! курсы, типа skillbox, intercode и др не учитываются...;Аккредитация в Минцифры (льготы для сотрудников).;Ситис;HH
Frontend-разработчик (React), Удалённо;Москва;https://hh.ru/vacancy/86470655;0;0;RUR;...на <highlighttext>Java</highlighttext>. Знание современных практик разработки и проектирования ПО. Знание Web APIs, gitlab CI/CD, Docker, S3, SQL, <highlighttext>Java</highlighttext>...;Разработка CRM системы.;Ньютон Технологии;HH
Java-разработчик;Москва;https://hh.ru/vacancy/86671535;0;0;RUR;Опыт работы с <highlighttext>Java</highlighttext> Core от 1 года. Навыки использования <highlighttext>Java</highlighttext> EE/Jakarta EE и EJB 3. Опыт разработки приложения...;Разрабатывать API слой компании. Настраивать, тестировать и сопровождать системы. Участвовать в проектировании архитектуры системы. Анализировать и оценивать различные варианты реализации...;АльфаСтрахование Жизнь;HH
Тестировщик программного обеспечения (Екатеринбург);Екатеринбург;https://hh.ru/vacancy/86600271;;50000;RUR;Знание одной из областей: SQL, HTML, C++/C#/<highlighttext>Java</highlighttext>, либо другой язык программирования. Опыт работы с решениями, использующими Selenium WebDriver. ;Проведение тестирования и прием реализованных доработок в системе WSS Docs. Функциональное тестирование. Нагрузочное тестирование. Кроссбраузерное тестирование. Тестирование мобильных приложений. ;WSS-Consulting;HH
Trainee/Junior QA automation engineer (Java);Брест;https://hh.ru/vacancy/86560305;0;0;RUR;"Базовые знания <highlighttext>Java</highlighttext>; знания Selenuim Webdriver, Maven, JUnit, TestNG. Умение составлять тикеты в Jira, YT. Аналитический ум и внимательность, усидчивость...";;СенамаСофт;HH
Frontend-разработчик;Москва;https://hh.ru/vacancy/85934327;75000;;RUR;Основы программирования по языкам (JavaScript, Python).;Веб-разработка при помощи (HTML+CSS, Javascript, JS (GameDev), Python). ISmart организует группы и учебный процесс, предоставляет программу обучения и образовательный...;Айсмарт;HH
QA Engineer (TVBS Team);Ростов-на-Дону;https://hh.ru/vacancy/86683564;0;0;RUR;Будет плюсом: Знание основ одного из языков программирования (например, python). Опыт работы в проектах на <highlighttext>Java</highlighttext>, Erlang, Go. ;;TradingView;HH
